reward_id	point_cost	free_product_id	order_id	id
65	3	349	143	1
40	3	359	118	2
1	4	249	255	3
2	2	324	274	4
36	3	351	224	5
30	3	104	101	6
70	3	326	285	7
79	10	258	132	8
44	1	113	148	9
73	3	371	213	10
46	3	327	276	11
19	8	300	103	12
41	1	294	294	13
15	3	105	222	14
22	4	117	265	15
30	3	104	114	16
52	5	268	237	17
63	7	362	282	18
22	4	117	146	19
53	3	355	125	20
64	4	330	168	21
40	3	359	141	22
66	4	369	165	23
24	10	256	254	24
30	3	104	154	25
16	3	354	112	26
46	3	327	240	27
17	10	259	212	28
27	6	110	236	29
75	2	106	147	30
22	4	117	172	31
64	4	330	235	32
66	4	369	198	33
5	6	361	219	34
9	3	350	287	35
58	1	304	288	36
6	4	368	195	37
69	3	353	292	38
15	3	105	300	39
42	2	296	202	40
49	3	333	296	41
27	6	110	270	42
3	3	346	123	43
5	6	361	261	44
70	3	326	193	45
46	3	327	191	46
38	4	337	253	47
56	4	248	151	48
78	4	329	186	49
18	1	287	133	50
